Model,mAP50,Precision,Recall,Latency (ms),Model Path
YOLOv8n,0.022556062241183096,0.03981797497155859,0.28112449799196787,0,yolov8n.pt
YOLOv8s,0.029567695147905738,0.050476724621424565,0.3614457831325301,0,yolov8s.pt
YOLOv8m,0.03446312222374561,0.06015037593984962,0.3855421686746988,0,yolov8m.pt
Custom_Optimized,0.8396001858214804,0.8270219762053959,0.7911646586345381,0,runs/detect/weapons_yolov8_optimized_stable/weights/best.pt
